time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,10,5,1,1
2026-06-28 00:00:00+00:00,11,4,1,1
2026-06-29 00:00:00+00:00,20,7,2,2
2026-06-30 00:00:00+00:00,4,3,0,0
2026-07-01 00:00:00+00:00,12,8,1,1
2026-07-02 00:00:00+00:00,28,9,0,0
2026-07-03 00:00:00+00:00,22,8,0,0
2026-07-04 00:00:00+00:00,15,6,0,0
2026-07-05 00:00:00+00:00,14,7,0,0
2026-07-06 00:00:00+00:00,10,6,0,0
2026-07-07 00:00:00+00:00,15,5,0,0
2026-07-08 00:00:00+00:00,13,4,0,0
2026-07-09 00:00:00+00:00,16,6,0,0
2026-07-10 00:00:00+00:00,11,6,3,2
