time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,1,1,0,0
2026-06-02 00:00:00+00:00,25,11,0,0
2026-06-03 00:00:00+00:00,6,4,3,2
2026-06-04 00:00:00+00:00,4,4,0,0
2026-06-05 00:00:00+00:00,7,5,0,0
2026-06-06 00:00:00+00:00,24,8,0,0
2026-06-07 00:00:00+00:00,17,9,1,1
2026-06-08 00:00:00+00:00,13,4,0,0
2026-06-09 00:00:00+00:00,23,10,0,0
2026-06-10 00:00:00+00:00,15,7,1,1
2026-06-11 00:00:00+00:00,12,6,0,0
2026-06-12 00:00:00+00:00,33,11,0,0
2026-06-13 00:00:00+00:00,15,6,0,0
2026-06-14 00:00:00+00:00,25,9,1,1
