time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,9,5,6,4
2026-01-25 00:00:00+00:00,8,4,1,1
2026-01-26 00:00:00+00:00,3,3,0,0
2026-01-27 00:00:00+00:00,10,6,1,1
2026-01-28 00:00:00+00:00,5,5,1,1
2026-01-29 00:00:00+00:00,9,5,1,1
2026-01-30 00:00:00+00:00,9,5,0,0
2026-01-31 00:00:00+00:00,8,4,2,2
2026-02-01 00:00:00+00:00,15,7,0,0
2026-02-02 00:00:00+00:00,8,4,2,2
2026-02-03 00:00:00+00:00,14,6,4,2
2026-02-04 00:00:00+00:00,24,10,1,1
2026-02-05 00:00:00+00:00,9,5,25,4
2026-02-06 00:00:00+00:00,18,9,10,4
