time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-19 00:00:00+00:00,,,6.0,2.0
2025-01-20 00:00:00+00:00,3.0,2.0,5.0,3.0
2025-01-21 00:00:00+00:00,,,2.0,1.0
2025-01-22 00:00:00+00:00,3.0,1.0,7.0,3.0
2025-01-23 00:00:00+00:00,2.0,2.0,5.0,4.0
2025-01-24 00:00:00+00:00,1.0,1.0,3.0,3.0
2025-01-25 00:00:00+00:00,1.0,1.0,,
2025-01-26 00:00:00+00:00,1.0,1.0,,
2025-01-27 00:00:00+00:00,,,1.0,1.0
2025-01-28 00:00:00+00:00,2.0,1.0,2.0,1.0
2025-01-29 00:00:00+00:00,2.0,1.0,,
2025-01-30 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-01-31 00:00:00+00:00,3.0,2.0,1.0,1.0
