url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,65,25
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,8,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,7,3
/Ricardokevins/Bert-In-Relation-Extraction/fork,6,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,5,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,4,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,3,3
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/__pycache__,3,3
/Ricardokevins/Bert-In-Relation-Extraction/issues,3,2
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,3,2
