time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,13,5,1,1
2026-03-21 00:00:00+00:00,2,2,2,2
2026-03-22 00:00:00+00:00,1,1,3,3
2026-03-23 00:00:00+00:00,14,9,5,3
2026-03-24 00:00:00+00:00,3,3,11,2
2026-03-25 00:00:00+00:00,11,6,1,1
2026-03-26 00:00:00+00:00,15,7,4,4
2026-03-27 00:00:00+00:00,12,7,0,0
2026-03-28 00:00:00+00:00,8,8,1,1
2026-03-29 00:00:00+00:00,13,9,2,2
2026-03-30 00:00:00+00:00,4,4,4,4
2026-03-31 00:00:00+00:00,6,5,1,1
2026-04-01 00:00:00+00:00,9,5,1,1
2026-04-02 00:00:00+00:00,22,10,3,1
