url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,113,74
/Ricardokevins/Bert-In-Relation-Extraction/issues,44,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,19,9
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,15,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,13,5
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,11,4
/Ricardokevins/Bert-In-Relation-Extraction/issues/44,9,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,8,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,8,3
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,8,3
