time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-27 00:00:00+00:00,2.0,2.0,6.0,2.0
2025-11-28 00:00:00+00:00,5.0,5.0,1.0,1.0
2025-11-29 00:00:00+00:00,2.0,2.0,3.0,2.0
2025-11-30 00:00:00+00:00,2.0,2.0,,
2025-12-01 00:00:00+00:00,54.0,15.0,9.0,4.0
2025-12-02 00:00:00+00:00,42.0,11.0,2.0,1.0
2025-12-03 00:00:00+00:00,118.0,26.0,6.0,3.0
2025-12-04 00:00:00+00:00,5.0,5.0,6.0,4.0
2025-12-05 00:00:00+00:00,15.0,7.0,3.0,3.0
2025-12-06 00:00:00+00:00,11.0,7.0,1.0,1.0
2025-12-07 00:00:00+00:00,4.0,3.0,,
2025-12-08 00:00:00+00:00,7.0,3.0,5.0,4.0
2025-12-09 00:00:00+00:00,17.0,11.0,4.0,4.0
2025-12-10 00:00:00+00:00,,,4.0,4.0
