time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-24 00:00:00+00:00,2.0,2.0,5,1
2024-02-25 00:00:00+00:00,2.0,2.0,1,1
2024-02-26 00:00:00+00:00,4.0,4.0,9,6
2024-02-27 00:00:00+00:00,2.0,2.0,11,7
2024-02-28 00:00:00+00:00,2.0,2.0,52,14
2024-02-29 00:00:00+00:00,4.0,4.0,63,8
2024-03-01 00:00:00+00:00,3.0,3.0,63,10
2024-03-02 00:00:00+00:00,3.0,3.0,133,8
2024-03-03 00:00:00+00:00,2.0,2.0,34,4
2024-03-04 00:00:00+00:00,5.0,4.0,51,8
2024-03-05 00:00:00+00:00,2.0,2.0,30,11
2024-03-06 00:00:00+00:00,3.0,3.0,49,17
2024-03-07 00:00:00+00:00,3.0,3.0,26,10
2024-03-08 00:00:00+00:00,,,19,10
