time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-14 00:00:00+00:00,9,5,4,1
2026-03-15 00:00:00+00:00,9,5,0,0
2026-03-16 00:00:00+00:00,5,5,4,1
2026-03-17 00:00:00+00:00,9,4,1,1
2026-03-18 00:00:00+00:00,9,5,2,1
2026-03-19 00:00:00+00:00,9,5,2,1
2026-03-20 00:00:00+00:00,13,5,1,1
2026-03-21 00:00:00+00:00,2,2,2,2
2026-03-22 00:00:00+00:00,1,1,3,3
2026-03-23 00:00:00+00:00,14,9,5,3
2026-03-24 00:00:00+00:00,3,3,11,2
2026-03-25 00:00:00+00:00,11,6,1,1
2026-03-26 00:00:00+00:00,15,7,4,4
2026-03-27 00:00:00+00:00,12,7,0,0
