url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,105,55
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,50,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,35,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,17,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,14,5
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/figure,14,4
/Ricardokevins/Bert-In-Relation-Extraction/issues,10,5
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,9,3
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,8,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/nohup.out,6,2
