time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,29,13,1,1
2026-04-27 00:00:00+00:00,9,4,0,0
2026-04-28 00:00:00+00:00,32,11,0,0
2026-04-29 00:00:00+00:00,57,13,0,0
2026-04-30 00:00:00+00:00,17,7,2,2
2026-05-01 00:00:00+00:00,14,4,3,3
2026-05-02 00:00:00+00:00,36,11,4,4
2026-05-03 00:00:00+00:00,36,13,4,4
2026-05-04 00:00:00+00:00,20,6,0,0
2026-05-05 00:00:00+00:00,20,6,0,0
2026-05-06 00:00:00+00:00,16,6,4,3
2026-05-07 00:00:00+00:00,25,9,0,0
2026-05-08 00:00:00+00:00,9,4,2,1
2026-05-09 00:00:00+00:00,32,10,1,1
