url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,117,72
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,43,13
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,40,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,40,11
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/train.json,22,4
/Ricardokevins/Bert-In-Relation-Extraction/issues,14,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/figure/image-1603561010074.png,14,4
/Ricardokevins/Bert-In-Relation-Extraction/tree/main/README.assets,13,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,8,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,8,3
