url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,78,37
/Ricardokevins/Bert-In-Relation-Extraction/issues,25,6
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,7,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.md,5,3
/Ricardokevins/Bert-In-Relation-Extraction/issues/2,5,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/demo.py,4,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,4,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/test.py,3,3
/Ricardokevins/Bert-In-Relation-Extraction/issues/57,3,3
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,3,2
