url_path,views_total,views_unique
/Ricardokevins/Bert-In-Relation-Extraction,79,51
/Ricardokevins/Bert-In-Relation-Extraction/issues,24,7
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/loader.py,7,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/model.py,6,4
/Ricardokevins/Bert-In-Relation-Extraction/issues/56,6,4
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/main.py,5,3
/Ricardokevins/Bert-In-Relation-Extraction/issues/57,4,3
/Ricardokevins/Bert-In-Relation-Extraction/issues/44,4,2
/Ricardokevins/Bert-In-Relation-Extraction/blob/main/README.assets/Inkedimage-20210204112312401_LI.jpg,3,3
/Ricardokevins/Bert-In-Relation-Extraction/issues/58,3,3
