time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,4,4,,
2025-09-04 00:00:00+00:00,5,4,5.0,4.0
2025-09-05 00:00:00+00:00,1,1,3.0,1.0
2025-09-06 00:00:00+00:00,7,7,,
2025-09-07 00:00:00+00:00,7,6,5.0,1.0
2025-09-08 00:00:00+00:00,2,2,5.0,5.0
2025-09-09 00:00:00+00:00,4,4,,
2025-09-10 00:00:00+00:00,1,1,3.0,3.0
2025-09-11 00:00:00+00:00,5,5,,
2025-09-12 00:00:00+00:00,4,4,,
2025-09-13 00:00:00+00:00,4,4,2.0,1.0
2025-09-14 00:00:00+00:00,5,5,,
2025-09-15 00:00:00+00:00,2,2,4.0,3.0
2025-09-16 00:00:00+00:00,14,6,22.0,1.0
